"ID";"Regions";"Periods";"AveragePurchasePrice_1"
"0";"NL01  ";"1995JJ00";"   93750"
"1";"NL01  ";"1996JJ00";"  102607"
"2";"NL01  ";"1997JJ00";"  113163"
"3";"NL01  ";"1998JJ00";"  124540"
"4";"NL01  ";"1999JJ00";"  144778"
"5";"NL01  ";"2000JJ00";"  172050"
"6";"NL01  ";"2001JJ00";"  188397"
"7";"NL01  ";"2002JJ00";"  199752"
"8";"NL01  ";"2003JJ00";"  204829"
"9";"NL01  ";"2004JJ00";"  212723"
"10";"NL01  ";"2005JJ00";"  222706"
"11";"NL01  ";"2006JJ00";"  235843"
"12";"NL01  ";"2007JJ00";"  248325"
"13";"NL01  ";"2008JJ00";"  254918"
"14";"NL01  ";"2009JJ00";"  238259"
"15";"NL01  ";"2010JJ00";"  239530"
"16";"NL01  ";"2011JJ00";"  240059"
"17";"NL01  ";"2012JJ00";"  226661"
"18";"NL01  ";"2013JJ00";"  213353"
"19";"NL01  ";"2014JJ00";"  222218"
"20";"NL01  ";"2015JJ00";"  230194"
"21";"NL01  ";"2016JJ00";"  243837"
"22";"NL01  ";"2017JJ00";"  263295"
"23";"NL01  ";"2018JJ00";"  287267"
"24";"NL01  ";"2019JJ00";"  307978"
"25";"NL01  ";"2020JJ00";"  334488"
"26";"NL01  ";"2021JJ00";"  386714"
"27";"NL01  ";"2022JJ00";"  428591"
"28";"NL01  ";"2023JJ00";"  416153"
"29";"NL01  ";"2024JJ00";"  450985"
"30";"LD01  ";"1995JJ00";"   72907"
"31";"LD01  ";"1996JJ00";"   78744"
"32";"LD01  ";"1997JJ00";"   85644"
"33";"LD01  ";"1998JJ00";"   94150"
"34";"LD01  ";"1999JJ00";"  108234"
"35";"LD01  ";"2000JJ00";"  128028"
"36";"LD01  ";"2001JJ00";"  143439"
"37";"LD01  ";"2002JJ00";"  155884"
"38";"LD01  ";"2003JJ00";"  161238"
"39";"LD01  ";"2004JJ00";"  169464"
"40";"LD01  ";"2005JJ00";"  179297"
"41";"LD01  ";"2006JJ00";"  190778"
"42";"LD01  ";"2007JJ00";"  198867"
"43";"LD01  ";"2008JJ00";"  201895"
"44";"LD01  ";"2009JJ00";"  190861"
"45";"LD01  ";"2010JJ00";"  192257"
"46";"LD01  ";"2011JJ00";"  191274"
"47";"LD01  ";"2012JJ00";"  182010"
"48";"LD01  ";"2013JJ00";"  171395"
"49";"LD01  ";"2014JJ00";"  174682"
"50";"LD01  ";"2015JJ00";"  181842"
"51";"LD01  ";"2016JJ00";"  190935"
"52";"LD01  ";"2017JJ00";"  203310"
"53";"LD01  ";"2018JJ00";"  216465"
"54";"LD01  ";"2019JJ00";"  230412"
"55";"LD01  ";"2020JJ00";"  253843"
"56";"LD01  ";"2021JJ00";"  296338"
"57";"LD01  ";"2022JJ00";"  332306"
"58";"LD01  ";"2023JJ00";"  328645"
"59";"LD01  ";"2024JJ00";"  356207"
"60";"LD02  ";"1995JJ00";"   94927"
"61";"LD02  ";"1996JJ00";"  103429"
"62";"LD02  ";"1997JJ00";"  113675"
"63";"LD02  ";"1998JJ00";"  124735"
"64";"LD02  ";"1999JJ00";"  145248"
"65";"LD02  ";"2000JJ00";"  173955"
"66";"LD02  ";"2001JJ00";"  189176"
"67";"LD02  ";"2002JJ00";"  199201"
"68";"LD02  ";"2003JJ00";"  205324"
"69";"LD02  ";"2004JJ00";"  213368"
"70";"LD02  ";"2005JJ00";"  219537"
"71";"LD02  ";"2006JJ00";"  230546"
"72";"LD02  ";"2007JJ00";"  240869"
"73";"LD02  ";"2008JJ00";"  244668"
"74";"LD02  ";"2009JJ00";"  231152"
"75";"LD02  ";"2010JJ00";"  230439"
"76";"LD02  ";"2011JJ00";"  227931"
"77";"LD02  ";"2012JJ00";"  218053"
"78";"LD02  ";"2013JJ00";"  203120"
"79";"LD02  ";"2014JJ00";"  210182"
"80";"LD02  ";"2015JJ00";"  214439"
"81";"LD02  ";"2016JJ00";"  225260"
"82";"LD02  ";"2017JJ00";"  243068"
"83";"LD02  ";"2018JJ00";"  263244"
"84";"LD02  ";"2019JJ00";"  281575"
"85";"LD02  ";"2020JJ00";"  308009"
"86";"LD02  ";"2021JJ00";"  358936"
"87";"LD02  ";"2022JJ00";"  402744"
"88";"LD02  ";"2023JJ00";"  396409"
"89";"LD02  ";"2024JJ00";"  426882"
"90";"LD03  ";"1995JJ00";"   96079"
"91";"LD03  ";"1996JJ00";"  105359"
"92";"LD03  ";"1997JJ00";"  116500"
"93";"LD03  ";"1998JJ00";"  128373"
"94";"LD03  ";"1999JJ00";"  150549"
"95";"LD03  ";"2000JJ00";"  179105"
"96";"LD03  ";"2001JJ00";"  195339"
"97";"LD03  ";"2002JJ00";"  206232"
"98";"LD03  ";"2003JJ00";"  210867"
"99";"LD03  ";"2004JJ00";"  219236"
"100";"LD03  ";"2005JJ00";"  230694"
"101";"LD03  ";"2006JJ00";"  244866"
"102";"LD03  ";"2007JJ00";"  259586"
"103";"LD03  ";"2008JJ00";"  268223"
"104";"LD03  ";"2009JJ00";"  249839"
"105";"LD03  ";"2010JJ00";"  253528"
"106";"LD03  ";"2011JJ00";"  255658"
"107";"LD03  ";"2012JJ00";"  239438"
"108";"LD03  ";"2013JJ00";"  227547"
"109";"LD03  ";"2014JJ00";"  237708"
"110";"LD03  ";"2015JJ00";"  247357"
"111";"LD03  ";"2016JJ00";"  264412"
"112";"LD03  ";"2017JJ00";"  288951"
"113";"LD03  ";"2018JJ00";"  319865"
"114";"LD03  ";"2019JJ00";"  344342"
"115";"LD03  ";"2020JJ00";"  372321"
"116";"LD03  ";"2021JJ00";"  428808"
"117";"LD03  ";"2022JJ00";"  472910"
"118";"LD03  ";"2023JJ00";"  451259"
"119";"LD03  ";"2024JJ00";"  488736"
"120";"LD04  ";"1995JJ00";"   98449"
"121";"LD04  ";"1996JJ00";"  108736"
"122";"LD04  ";"1997JJ00";"  120263"
"123";"LD04  ";"1998JJ00";"  131659"
"124";"LD04  ";"1999JJ00";"  151525"
"125";"LD04  ";"2000JJ00";"  177334"
"126";"LD04  ";"2001JJ00";"  194657"
"127";"LD04  ";"2002JJ00";"  207466"
"128";"LD04  ";"2003JJ00";"  212591"
"129";"LD04  ";"2004JJ00";"  218459"
"130";"LD04  ";"2005JJ00";"  227997"
"131";"LD04  ";"2006JJ00";"  241691"
"132";"LD04  ";"2007JJ00";"  252153"
"133";"LD04  ";"2008JJ00";"  257694"
"134";"LD04  ";"2009JJ00";"  239440"
"135";"LD04  ";"2010JJ00";"  236634"
"136";"LD04  ";"2011JJ00";"  235888"
"137";"LD04  ";"2012JJ00";"  224385"
"138";"LD04  ";"2013JJ00";"  208246"
"139";"LD04  ";"2014JJ00";"  216276"
"140";"LD04  ";"2015JJ00";"  223102"
"141";"LD04  ";"2016JJ00";"  234546"
"142";"LD04  ";"2017JJ00";"  252518"
"143";"LD04  ";"2018JJ00";"  272998"
"144";"LD04  ";"2019JJ00";"  290853"
"145";"LD04  ";"2020JJ00";"  316642"
"146";"LD04  ";"2021JJ00";"  360562"
"147";"LD04  ";"2022JJ00";"  397814"
"148";"LD04  ";"2023JJ00";"  393373"
"149";"LD04  ";"2024JJ00";"  428252"
"150";"PV20  ";"1995JJ00";"   67913"
"151";"PV20  ";"1996JJ00";"   72509"
"152";"PV20  ";"1997JJ00";"   79297"
"153";"PV20  ";"1998JJ00";"   84559"
"154";"PV20  ";"1999JJ00";"   96075"
"155";"PV20  ";"2000JJ00";"  111768"
"156";"PV20  ";"2001JJ00";"  129222"
"157";"PV20  ";"2002JJ00";"  141432"
"158";"PV20  ";"2003JJ00";"  148159"
"159";"PV20  ";"2004JJ00";"  155116"
"160";"PV20  ";"2005JJ00";"  168081"
"161";"PV20  ";"2006JJ00";"  177983"
"162";"PV20  ";"2007JJ00";"  186935"
"163";"PV20  ";"2008JJ00";"  188062"
"164";"PV20  ";"2009JJ00";"  181358"
"165";"PV20  ";"2010JJ00";"  177940"
"166";"PV20  ";"2011JJ00";"  180603"
"167";"PV20  ";"2012JJ00";"  172575"
"168";"PV20  ";"2013JJ00";"  163505"
"169";"PV20  ";"2014JJ00";"  165832"
"170";"PV20  ";"2015JJ00";"  171679"
"171";"PV20  ";"2016JJ00";"  180595"
"172";"PV20  ";"2017JJ00";"  195057"
"173";"PV20  ";"2018JJ00";"  205000"
"174";"PV20  ";"2019JJ00";"  219283"
"175";"PV20  ";"2020JJ00";"  241080"
"176";"PV20  ";"2021JJ00";"  283578"
"177";"PV20  ";"2022JJ00";"  319184"
